STATE_UT,DISTRICT,BLOCK,VILLAGE,LATITUDE,LONGITUDE,Date,DTWL
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Addateegala,17.4633,82.0271,2024-05-10,9.54
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Addateegala,17.4633,82.0271,2023-05-01,8.72
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Addateegala,17.4633,82.0271,2022-05-01,8.43
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Addateegala,17.4633,82.0271,2019-05-01,8.11
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Addateegala,17.4633,82.0271,2018-05-01,7.61
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Addateegala,17.4633,82.0271,2017-05-01,7.78
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Addateegala,17.4633,82.0271,2016-05-01,8.32
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Addateegala,17.4633,82.0271,2015-05-01,7.33
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Addateegala,17.4633,82.0271,2014-05-01,7.52
Andhra Pradesh,Alluri Sitharama Raju Addateegala,Mallavaram,Mammilu,17.5032,82.0124,2024-05-10,7.85
Andhra Pradesh,Alluri Sitharama Raju Addateegala,Mallavaram,Mammilu,17.5032,82.0124,2023-05-01,6.77
Andhra Pradesh,Alluri Sitharama Raju Addateegala,Mallavaram,Mammilu,17.5032,82.0124,2022-05-01,6.14
Andhra Pradesh,Alluri Sitharama Raju Addateegala,Mallavaram,Mammilu,17.5032,82.0124,2019-05-01,11.25
Andhra Pradesh,Alluri Sitharama Raju Addateegala,Mallavaram,Mammilu,17.5032,82.0124,2018-05-01,8.3
Andhra Pradesh,Alluri Sitharama Raju Addateegala,Mallavaram,Mammilu,17.5032,82.0124,2017-05-01,8.72
Andhra Pradesh,Alluri Sitharama Raju Addateegala,Mallavaram,Mammilu,17.5032,82.0124,2016-05-01,8.45
Andhra Pradesh,Alluri Sitharama Raju Addateegala,Mallavaram,Mammilu,17.5032,82.0124,2015-05-01,7.65
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Rayapalli,17.57208,82.0085,2024-05-10,4.1
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Rayapalli,17.57208,82.0085,2023-05-01,2.53
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Veerbhadrapuram,17.4379,82.074,2024-05-10,3.5
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Veerbhadrapuram,17.4379,82.074,2023-05-01,2.28
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Veerbhadrapuram,17.4379,82.074,2022-05-01,2.81
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Veerbhadrapuram,17.4379,82.074,2019-05-01,7.2
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Veerbhadrapuram,17.4379,82.074,2018-05-01,5.15
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Veerbhadrapuram,17.4379,82.074,2017-05-01,4.8
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Veerbhadrapuram,17.4379,82.074,2016-05-01,5.76
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Veerbhadrapuram,17.4379,82.074,2015-05-01,3.21
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Veerbhadrapuram,17.4379,82.074,2014-05-01,3.22
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Anantagiri,18.2388,83.0011,2024-05-10,5.31
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Anantagiri,18.2388,83.0011,2023-05-01,4.3
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Anantagiri,18.2388,83.0011,2022-05-01,5.66
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Anantagiri,18.2388,83.0011,2019-05-01,4.54
